Protein.Group,Genes,Kd_mean_8,Kd_mean_21,Kd_mean_60,Halflife_8,Halflife_21,Halflife_60,Oxy8vs21_Log2FC,Oxy8vs21_tval,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_tval,Oxy60vs21_pval,Oxy60vs21_FDR
A0A1W2P872,NOVA2,0.1444585173395385,0.115380657810863,0.1773789678170274,4.798243768006814,6.0074816152997,3.907719100468274,0.3242538747013533,-1.5155901961032603,0.129623007606825,0.4960072269176108,0.6204335628496707,-2.3455242661325326,0.0190003417293118,0.1630451402291277
A2A432,CUL4B,0.1766224035900507,,,3.92445786305102,,,,,,,,,,
A2A690,TANC2,0.1290076937908727,0.0919514397495491,0.0704916961586355,5.372913507651474,7.538187356803666,9.833033085203065,0.4885130387607056,-1.3744658152666835,0.1692971159017946,0.5451040652383589,-0.3834188444325789,1.4430676750169886,0.149001408170817,0.470502654474874
A2A699,FAM171A2,0.0432788771359433,0.045741539370161,0.0429966196373574,16.015830964900008,15.153560420227375,16.120969192603837,-0.079841849392158,0.5598115759484585,0.575607966936724,0.8482925195542818,-0.089281677884203,0.3661283752648313,0.7142692849406271,0.9118999440242004
A2A6A1,GPATCH8,0.1872216701729097,0.1188324602722986,0.1828497060035475,3.7022807238060897,5.832978455311225,3.79080281674884,0.6558184543508592,-2.09623039103833,0.036061758231013,0.2676584734816525,0.6217293305124365,-2.0157387833159253,0.0438272978444398,0.2545836224238559
A2A6T1,CDR2L,0.125890997093548,0.1113367409816357,,5.505931294236047,6.22568232596529,,0.1772453558035654,-0.4488838864469269,0.6535154206009652,0.8810115503680269,,,,
A2A7S8,KIAA1522,0.0391587894909547,0.0637720728309339,0.0488620085621311,17.70093482384214,10.86913361586265,14.185810222651106,-0.7035886071027344,2.6933539355976555,0.0070737132426693,0.1113766767948723,-0.3842116055060108,0.9083779869868556,0.3636785518970968,0.7149321137492375
A2A9C3,SZT2,,,0.0665618322937115,,,10.413583230421834,,,,,,,,
A2ADY9,DDI2,,0.1172061765716381,0.1041294272296053,,5.913913420222213,6.6565926559027,,,,,-0.1706707640175095,0.384240571767507,0.7008001501054536,0.90653461030915
A2AFS3,ELAPOR1,0.1121363486974001,,,6.181289016556108,,,,,,,,,,
A2AG50,MAP7D2,0.080223242700783,0.0857130996054597,0.0863561993849832,8.640228906543314,8.086829011557453,8.026605912446849,-0.0954954270357596,0.695894193537543,0.4864950939006783,0.8100913780789577,0.010784040943662,-0.4496087159246063,0.652992602327449,0.8806852644942352
A2AGT5,CKAP5,0.1641825671219333,0.199903880991783,0.1531723039328767,4.221807422740358,3.467402319159761,4.52527749966924,-0.2840055311286131,0.9889374590537968,0.3226937416849654,0.6924273874056401,-0.3841510233567604,1.5060841431167065,0.1320455746808565,0.4451499175884832
A2AHC3,CAMSAP1,0.137001596844838,0.1315445902552843,0.1142477052572513,5.059409499766439,5.269294459124293,6.067055605179877,0.0586407896736986,-0.0714614714685743,0.9430304874438956,0.985102594685274,-0.203386731116778,1.0510160995126123,0.2932511956921872,0.6437399586498762
A2AHG0,LZTS3,0.2139012494246995,0.1991343049587116,0.1673932854662233,3.2405008499212,3.4808024699895976,4.140830252715297,0.1032031332852142,-0.2278677295107607,0.8197490708891275,0.9497604347491504,-0.2505001170122618,2.167206163409696,0.0302191376407745,0.205848404083936
A2AI08,TPRN,,0.3581767221518081,,,1.9352100169875488,,,,,,,,,
A2AJA9,AJM1,0.0263558244836931,0.0332982718118444,0.0335963820110949,26.299582507419142,20.816310962822623,20.6316019484193,-0.3373254787290812,2.275080347670155,0.0229011103435104,0.21200247042772,0.0128585747482277,-0.0863489157447991,0.931189054510101,0.980496719817528
A2AJI0,MAP7D1,0.0694959572206323,0.0736897013638096,0.0686955857377061,9.973920905346706,9.40629650726692,10.090126943622316,-0.0845339524147272,1.1245893148251678,0.2607631036720984,0.6494810297890505,-0.1012456101035316,1.1314246533575796,0.257876399871528,0.6147417844930362
A2AJT4,PNISR,0.1870394448187865,0.1662475472879889,0.1904431690789676,3.705887713853631,4.16936786056286,3.639653676801243,0.1700094965450212,-0.4575267382191782,0.6472924882096049,0.8806578516406941,0.1960274852914391,-0.5550668204559059,0.578848956397148,0.8401415660393532
A2ALI5,AJAP1,,0.0928131409819295,,,7.468200873569179,,,,,,,,,
A2ALS5,RAP1GAP,0.0821392746816456,0.0895606880244777,0.1152282410747011,8.438681535068781,7.73941330565149,6.015427937588544,-0.1247934034524408,,,,0.363556831114781,,,
A2ALU4,SHROOM2,0.11098249676066,0.1112674508625241,0.1083715430862674,6.24555403591934,6.229559275302885,6.396025753810449,-0.0036994572939386,-0.3033033126176937,0.7616587219194583,0.9291494255796732,-0.0380456478546927,0.1862693702773727,0.8522335260634367,0.9521941512070488
A2AMZ4,NDUFAF8,,0.0276682305395178,0.0323384528490324,,25.05209646746081,21.434147879485927,,,,,0.2250202758624649,-0.4690826002404576,0.6390105956533232,0.8737258385747794
A2AP18,PLCH2,0.0651967939821285,0.0935263498483786,,10.63161450469402,7.411250216475349,,-0.52057186064025,1.067865395667546,0.2855812339208518,0.6764430087501561,,,,
A2APY7,NDUFAF5,0.0521031060220695,0.0666978788175783,,13.303375431521214,10.39234219810399,,-0.3562715018940472,1.0045452099546608,0.3151158912111906,0.6871906779653771,,,,
A2AQ19,RTF1,0.4154899536107159,0.4685820168108415,0.4777889451275545,1.6682645983045217,1.4792440932272417,1.4507392597266917,-0.1734879940725274,0.495477366507813,0.6202631947792343,0.8666325720251864,0.0280718860594236,-0.1232414823067784,0.901915877795907,0.971034277800908
A2AQ25,SKT,0.0325309951886086,0.0408860980067817,0.0354518054347099,21.30728483838899,16.95312622997123,19.55181610811005,-0.3297954268298455,2.9398863112475477,0.0032833269390475,0.0680712289334922,-0.2057512841514541,1.743805532059136,0.0811930055211154,0.3582522764479269
A2AR02,PPIG,0.131530525300317,0.1346454181514083,0.1305757333630942,5.269857920640984,5.1479448025517165,5.308392016704198,-0.0337674815028667,0.752874838000006,0.4515251297341026,0.7851683295553445,-0.0442783307507596,0.490025008031322,0.6241162026415201,0.8640854497546033
A2ARP1,PPIP5K1,0.1458997904497196,,,4.750844250176078,,,,,,,,,,
A2ARS0,ANKRD63,0.0666602922646276,,,10.398201943194216,,,,,,,,,,
A2ASQ1,AGRN,0.0213403256436909,0.0247149451695485,0.0221392205856844,32.48062809036227,28.04566936340921,31.30856291337301,-0.2118015146397813,1.7160532078013262,0.0861523043799625,0.4051635528667889,-0.1587792731066127,0.8153468947292767,0.4148737729536541,0.7501877738841717
A2ASS6,TTN,0.034720986336382,,,19.96334936584556,,,,,,,,,,
A2ASZ8,SLC25A25,,0.02815795934895,0.0281564245407232,,24.616385440793323,24.617727281297054,,,,,-7.863924152674248e-05,0.0003038599249811,0.9997575548609416,0.9999999664737292
A2AT37,UPF2,0.1241537503245126,0.1771560081912445,,5.5829741650832085,3.912637158835024,,-0.5128925530386326,1.182767844177706,0.236901167812255,0.6243840985132307,,,,
A2BH40,ARID1A,0.2745150809985985,0.2611594008203877,0.2882560970562562,2.5249876183067848,2.6541153731496614,2.404622790770216,0.071954771958846,-0.6819437796900896,0.4952745009950917,0.8134907850911581,0.1424204868061558,-0.8675884906854812,0.385619649322653,0.735762304441805
A2RSJ4,UHRF1BP1L,0.1179480673679342,0.1339573260778023,,5.876715032538011,5.174387999931902,,-0.1836217042440954,0.4908112676574423,0.6235599399197335,0.8666325720251864,,,,
A2RT62,FBXL16,,0.3057959449897203,0.1631037469549117,,2.266698404333799,4.249731802614922,,,,,-0.9067793507323868,1.9747425314815137,0.0482973736916919,0.2691231226086346
A2RTL5,RSRC2,0.3169422113732781,0.3538316043092108,0.2980793689598609,2.1869828495125643,1.9589747555569093,2.325377911858381,-0.1588431003540552,0.8774027587046597,0.3802679152785625,0.7423798027719417,-0.2473663904110184,1.539070466261277,0.123787094205262,0.4365793954576498
A3KMP2,TTC38,0.0622293851254727,,,11.138583149461564,,,,,,,,,,
A6H619,PHRF1,0.0647927363602383,0.1228358674662163,0.0715461931377797,10.697914912964103,5.64287284209217,9.688107083840512,-0.9228278891992512,2.06343401271874,0.0390714111991298,0.2791898897335877,-0.7797849715085958,2.1468725222154004,0.0318034317108001,0.211729143606158
A6H6E2,MMRN2,0.2007223560946901,0.2388948569518375,0.2701606080316375,3.45326347321748,2.901473850898713,2.5656855957282025,-0.2511744846408013,0.6104869944356144,0.541539256078278,0.8321442955386846,0.1774415363678222,-0.4990693509207702,0.6177305283886092,0.86020115201849
B0V2N1,PTPRS,0.0757991433556546,0.097581957197153,0.1062373417936514,9.144525252846886,7.103230970859929,6.524515475041439,-0.3644328757627478,2.216388700271866,0.0266648929037709,0.2268827881754381,0.1226046292688958,-0.4965175812764059,0.6195292862910191,0.8617978440353492
B1AVZ0,UPRT,0.0559942554865002,0.0572265891930188,0.0587229131038218,12.378898059052814,12.11232733479952,11.80369201600173,-0.0314067951878956,0.1161077259034468,0.907567165844251,0.977993314877553,0.0372379163736569,-0.1149875646845738,0.9084549786051872,0.9722424080726746
B1AWL2,ZNF462,0.0429941235030792,0.0353937696419693,,16.121905136879963,19.583875568258858,,0.2806440583692989,-0.5809862637431145,0.5612497113902681,0.8393579073130618,,,,
B1AWN6,SCN2A,0.0622675743932918,0.0598328489268296,0.0420831716792371,11.131751755446864,11.58472633331573,16.470887361893578,0.057543322533391,-0.3328478261023233,0.7392491545744575,0.9242945865661352,-0.5076943179920596,1.917318740724294,0.0551974504913019,0.2956468885332384
