Protein.Group,Genes,Kd_mean_8,Kd_mean_21,Kd_mean_60,Halflife_8,Halflife_21,Halflife_60,Oxy8vs21_Log2FC,Oxy8vs21_tval,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_tval,Oxy60vs21_pval,Oxy60vs21_FDR
A2A690,TANC2,,0.060216164280833,,,11.510981957058592,,,,,,,,,
A2AAJ9,OBSCN,0.0475380998413943,0.0524685646957346,0.0550150975913972,14.580876872919935,13.210713587831256,12.599217504038988,-0.142369086795891,1.5248602705926175,0.1272939531404147,0.4062943983796798,0.0683742616148979,0.3354720687967137,0.7372690110795462,0.93585161698451
A2AGT5,CKAP5,,0.2491660091386336,,,2.7818689353180788,,,,,,,,,
A2AHC3,CAMSAP1,,0.3321710920416485,0.247044703020406,,2.0867173488806685,2.8057560922595086,,,,,-0.4271544021440636,0.908249803038246,0.3637462567535392,0.7608963191034775
A2AJI0,MAP7D1,0.3415305445028807,0.3307014283167886,0.2880803437732474,2.029532033712724,2.0959908884819183,2.4060898132832427,0.0464853339098946,-0.4798355193923602,0.6313443540615828,0.8672261429408921,-0.1990580503731512,0.9887274187421148,0.322796524001892,0.7284821608900373
A2AKB9,DCAF10,0.0835943375716666,0.0573616950538112,,8.291795840426394,12.083798777384471,,0.543317565100789,-0.8087940209190726,0.4186336359774832,0.7272442660410333,,,,
A2AMM0,CAVIN4,0.0691742861888687,0.062152033240768,0.059489441811705,10.0203011660637,11.15244577558376,11.651600005827628,0.1544342633513764,-1.667770767531544,0.0953612409871357,0.339447926416984,-0.0631679467842213,0.6988963600056747,0.4846168024655641,0.8226740450706258
A2AMZ4,NDUFAF8,0.0509732458583109,0.0504033160275258,0.0593993529830344,13.598254709670035,13.752015446392631,11.669271561895982,0.0162215720848843,-0.0632688152151277,0.9495524478484,0.9880313114363164,0.2369285647604876,-0.689362523561935,0.4905951610463662,0.8241384822165756
A2AN08,UBR4,0.2435861845015422,,,2.8455931602950035,,,,,,,,,,
A2APY7,NDUFAF5,,0.0480283121361735,,,14.432053714373335,,,,,,,,,
A2AQ25,SKT,0.1530792297038938,0.1641981827303542,0.1205987138934131,4.528028929206939,4.221405919566294,5.747550352589654,-0.1011596136392606,0.4493030914229947,0.6532130280037386,0.8811839251837987,-0.4452236382028662,1.8698947695692811,0.0614984322913383,0.3525764214282776
A2AR02,PPIG,0.2722205140716659,0.2884729673672471,,2.5462709264352665,2.4028150259137395,,-0.0836603411321436,0.1980816073958691,0.8429812148875426,0.952980587570204,,,,
A2ASQ1,AGRN,0.0371310232097893,0.0306499735570441,0.0375299222619782,18.667602469333534,22.614935679141624,18.469187751613763,0.2767392424602531,-1.7725427006687882,0.0763045136487695,0.2994349756659081,0.2921554726395869,-1.666589915064354,0.0955959755819156,0.443818780007107
A2ASS6,TTN,0.0431609688427771,0.0409124658372072,0.0432354198959297,16.059583441810112,16.94220004528724,16.03192896538051,0.0771867570604094,-5.680725893504363,1.3412427995221646e-08,9.259542882627092e-07,0.0796732080180856,-4.984551899422527,6.21055745121642e-07,7.69631388762281e-05
A2AUC9,KLHL41,0.111189934023246,0.096791053624401,0.0970596230258758,6.233902256071415,7.16127322314015,7.141457579895546,0.2000805766209062,-2.1507604034434533,0.0314951159525432,0.1757291081899223,0.003997551086687,0.2310742832939473,0.8172570934619978,0.9617004035828034
A3KFX0,NT5C1A,,0.24288715191111,,,2.853782816859815,,,,,,,,,
A3KG59,PM20D2,,,0.1571394008385973,,,4.411033622763382,,,,,,,,
A3KGF9,CCDC9B,0.259167641286154,,,2.674512825444217,,,,,,,,,,
A3KMP2,TTC38,0.0609533709184693,0.0721416736701391,0.0579137148071034,11.371761235110244,9.608138338033216,11.968618881877129,-0.2431268849532649,1.0566260383726422,0.2906822920982999,0.618683292063447,-0.3169278539330598,1.0370881129340173,0.2996947945553468,0.7015527314567472
A6H611,MIPEP,,0.1093802918648016,0.0838539526409481,,6.337039047369725,8.266124120921436,,,,,-0.3834021217131204,0.8059610425701285,0.4202653122426334,0.8032730523464916
A6H6E2,MMRN2,0.2042250845253365,0.1483482276499278,0.1474625601539311,3.394035469104934,4.672433176590651,4.700496043445826,0.4611723894954486,-1.7881745187423417,0.0737478559862792,0.294991423945117,-0.0086389812343937,0.0109806076759835,0.9912389187268495,0.9993028148116112
A6X8Z5,ARHGAP31,0.0654452958112339,,,10.591245283071425,,,,,,,,,,
A6X935,ITIH4,,0.7727576123955568,0.4274885699583532,,0.8969787802040301,1.6214402659408484,,,,,-0.8541301148354613,3.059813943665398,0.0022147453123777,0.0487940687942687
B1AR13,CISD3,0.0390186563090535,0.0338812408542315,0.0329515428501773,17.76450667777386,20.458140347990703,21.035348290412887,0.2036773841349889,-1.0249675905801263,0.3053784801564687,0.6323656975652509,-0.0401406959985129,0.1675755256465828,0.8669172266009841,0.9712083494440064
B2RRE7,OTUD4,0.1905823835096013,0.1732918874254236,0.1542066901981216,3.63699502438548,3.999882457615001,4.494922883497491,0.1372106528164948,-0.2395529029579124,0.8106768796735986,0.9363447126267602,-0.1683387596375005,0.2762442499460065,0.7823604724305135,0.953930705046372
B2RXS4,PLXNB2,0.1448391710807088,0.1282379311120643,0.1227901066890716,4.785633440098208,5.405165028389446,5.644975798539931,0.1756287698515909,-0.7529419406578567,0.451484803719699,0.7502659874696239,-0.0626287293732312,1.0971111406546938,0.27259281074883,0.6840113656862875
B2RY56,RBM25,0.2293356907150105,0.2444484106629398,0.1544880934300196,3.0224130330472687,2.8355560941474005,4.486735289240452,-0.0920691313687963,-0.1089449176632524,0.9132461795058724,0.9760039091817172,-0.6620343730705112,0.914778632662644,0.3603078543053063,0.7587659520076451
D0QMC3,MNDAL,,,0.1514077990808864,,,4.578015034678932,,,,,,,,
D3YXK2,SAFB,,0.2399911354257692,0.1368861001829952,,2.8882199308329874,5.063678340118655,,,,,-0.8100051593233131,2.051134943318369,0.0402538072244101,0.2896941212808539
D3YZF7,VSIG10L,,,0.0838780059572034,,,8.263753681908048,,,,,,,,
D3YZP9,CCDC6,0.1707212972814182,0.2064034036977035,,4.060109614896824,3.358215844032892,,-0.2738237176314078,0.4674500637858861,0.6401779113005814,0.8742063199005743,,,,
D3Z1D3,CEFIP,0.3612383181335372,0.4795693950072064,0.3760026504737143,1.9188085697589612,1.4453532435061445,1.8434635492241085,-0.4087886583502824,2.0583083306527814,0.0395605450081255,0.2037040218097954,-0.3509967606645134,2.455338947570238,0.0140751806115492,0.155631241352304
D3Z7P3,GLS,,0.1196567982356045,0.0797019957412675,,5.792793980623957,8.69673555992341,,,,,-0.5862146102111712,,,
D3Z7Q2,SMIM20,0.0849804150502843,0.0841510249817186,0.0902966839680198,8.156552073201787,8.236942814547156,7.676330404397079,0.0141495458227509,-0.0770404711840413,0.9385913492722756,0.983436916831659,0.1016921634517686,-0.5301698088923259,0.5959942015646071,0.8792551819785551
E9PV24,FGA,0.4432166302793237,0.361576214897437,0.3299519599376707,1.5639015623649106,1.917015423032071,2.100751820631354,0.2937122369723351,-3.0944706331556358,0.0019716445247419,0.0260648609511981,-0.1320437904376725,1.2316374381654729,0.2180845493514133,0.635829538846784
E9Q401,RYR2,0.0807044301026324,0.0668384456938434,0.0671488387678199,8.588712908058021,10.370486227865584,10.322549031065682,0.2719696850459429,-3.4380894758348104,0.0005858340864311,0.0103471631253826,0.006684266367643,0.8133351173384705,0.4160259480670301,0.802656050701779
E9Q4N7,ARID1B,0.2524940616201229,,0.1670697928980993,2.745201911333601,,4.148848026541312,,,,,,,,
E9Q4Z2,ACACB,0.2532556769950236,0.1856932891541201,0.0892047394168385,2.7369462702056837,3.732752991329983,7.770295447206977,0.4476729308626565,-3.648856330158846,0.0002634103557983,0.005845201228669,-1.0577294108869029,4.1029511453742655,4.079134086489779e-05,0.0020535890666671
E9Q557,DSP,0.1337662198206383,0.1516500161641404,0.1252445970687856,5.181780433725033,4.570702978427038,5.534347962166078,-0.1810318156543928,4.472365772433856,7.735895823254001e-06,0.0003204379958787,-0.2759972834475486,5.340844470183258,9.251460352150861e-08,1.656011403035004e-05
E9Q5C9,NOLC1,0.4165870249895036,0.3799793656677385,0.2438374106940506,1.6638712657395172,1.824170581846928,2.842661339730414,0.1326968291026545,-0.1116792049175555,0.9110777682388596,0.9760039091817172,-0.6400015887596492,2.26620433932741,0.0234388750883429,0.2054770927684195
E9Q6B2,CCDC85C,,0.3487781502329302,,,1.9873583826768664,,,,,,,,,
E9Q7G0,NUMA1,0.2960228652356513,0.2724222868210954,0.4184207112708337,2.3415325704930257,2.544385001125651,1.656579518864418,0.1198638812017423,-0.6564250156425551,0.5115506992665766,0.793908003574886,0.6191095300305652,-2.381559757090608,0.0172394934672231,0.171532265991721
E9Q9K5,TRDN,0.0846265219629676,0.0505388704119239,,8.190661325574325,13.71513005554644,,0.7437164558799624,-2.845270339837863,0.0044373745056603,0.0483699770675489,,,,
E9QAT4,SEC16A,0.031862489894834,0.1493090998364877,0.1493962745023916,21.75433190713469,4.64236393708775,4.639655057454921,-2.228371179259463,2.6978568027032246,0.0069787452993783,0.0660323920712751,0.0008420769933556,-0.0016130999459886,0.9987129330162414,1.0
F6ZDS4,TPR,0.2202642320079041,0.2146361623967806,0.2240638456222001,3.146889416594301,3.22940539385241,3.093525323709202,0.0373420743353582,-0.1531639624797481,0.878268976074783,0.9601720653392348,0.0620167128208009,-0.0196046870763074,0.9843587248066014,0.9993028148116112
G5E8K5,ANK3,0.1202911106820177,0.138744747256614,0.0941798890379867,5.762247739088866,4.995844486119115,7.359821588666023,-0.2059031198132905,0.6187020865306232,0.53611263519596,0.8072002843338202,-0.5589422254636969,2.056816176609033,0.0397039114316924,0.2881216275516058
G5E8V9,ARFIP1,,,0.1636508040420539,,,4.23552566464522,,,,,,,,
O08528,HK2,0.1108090229172275,0.1147125971463592,0.1019552464811771,6.255331581415661,6.042467852729147,6.798543522602473,-0.0499484679665362,0.6859151430801264,0.4927666204240343,0.7803882586834324,-0.1700878129593919,1.3958536709087008,0.1627585643404745,0.5598444137845306
O08529,CAPN2,0.0802462227733363,0.0706631151885502,0.0790823313332323,8.637754608311106,9.809179494994275,8.764880459064917,0.183476133567222,-1.129607721184676,0.2586415560740565,0.5824575109831761,0.1623980501444475,-0.8660385060692262,0.3864690458137634,0.7781866799689363
O08532,CACNA2D1,0.0759456490131481,0.0705979661379169,0.0738053873506314,9.126884680911004,9.818231579162564,9.391552641909067,0.1053406925585741,-0.2623349299814128,0.7930632345012221,0.9336463351693404,0.0640995068288874,-0.7575294655577038,0.4487327197602475,0.8116244732665618
O08547,SEC22B,0.1358792463533322,0.0667589014724973,,5.101199772314949,10.382842816032577,,1.025293001274053,-1.939846464752305,0.0523983518505394,0.2463651819174684,,,,
O08553,DPYSL2,0.0808921619736745,0.0603965896534625,0.0637855768300838,8.568780505403256,11.47659469743268,10.86683251930754,0.4215328310365133,-2.431961579273318,0.015017300189268,0.112418664870665,0.0787631504172747,-0.3705644671790684,0.7109619517403405,0.926253608302166
O08579,EMD,0.1394583676652868,0.1174512549814847,0.0886615663237101,4.970280322107049,5.901573215792496,7.817899111202392,0.2477723715432312,-1.195184035875337,0.2320151343845237,0.5531409151892026,-0.4056813738561261,0.8739660976712398,0.3821367167367292,0.7772974325477735
O08582,GTPBP1,,0.2365940690516879,,,2.929689587478693,,,,,,,,,
O08583,ALYREF,0.090999627647676,0.078086092350174,0.0868384226970278,7.61703315142792,8.876704669143301,7.982033287019491,0.2207950243906125,-1.3457860541986555,0.1783715242306942,0.4825609886299188,0.1532679038665353,-0.836759499556143,0.4027277668976619,0.7933278824959719
O08585,CLTA,0.3145156242608399,,,2.2038561110881147,,,,,,,,,,
O08600,ENDOG,0.0957353548982595,0.0986883340983609,0.0787555079886079,7.240242450624131,7.023597944911071,8.801253375957018,-0.0438277466011126,0.1890278646447698,0.8500709776409632,0.9545392330800264,-0.325498728481488,2.016953691190299,0.0437003461962576,0.3041134070857972
