,Protein.Group,Genes,Oxygen,Kd,Kd_pvalue,Half_life
0,A2A690,TANC2,21,0.06021616428083305,5.180629233561519e-10,11.510981957058592
1,A2AAJ9,OBSCN,8,0.047538099841394316,5.523492467461348e-67,14.580876872919937
2,A2AAJ9,OBSCN,21,0.05246856469573467,7.624750194099679e-180,13.210713587831256
3,A2AAJ9,OBSCN,60,0.05501509759139724,4.7352523543471306e-61,12.599217504038988
4,A2AGT5,CKAP5,21,0.2491660091386336,4.7611487134028784e-15,2.7818689353180788
7,A2AHC3,CAMSAP1,21,0.3321710920416485,4.396751387625991e-13,2.0867173488806685
8,A2AHC3,CAMSAP1,60,0.24704470302040604,4.412552400463687e-07,2.8057560922595086
9,A2AJI0,MAP7D1,8,0.3415305445028807,3.8905672238608885e-47,2.029532033712724
10,A2AJI0,MAP7D1,21,0.33070142831678867,9.605146174784318e-45,2.0959908884819183
11,A2AJI0,MAP7D1,60,0.2880803437732474,1.942550537617207e-42,2.4060898132832427
12,A2AKB9,DCAF10,8,0.08359433757166664,0.0416501524942722,8.291795840426394
13,A2AKB9,DCAF10,21,0.057361695053811244,2.602319030616197e-40,12.083798777384473
14,A2AMM0,CAVIN4,8,0.06917428618886871,3.084163804022692e-146,10.0203011660637
15,A2AMM0,CAVIN4,21,0.06215203324076806,4.2720084900411553e-190,11.152445775583761
16,A2AMM0,CAVIN4,60,0.05948944181170509,7.781348124367974e-85,11.651600005827627
17,A2AMZ4,NDUFAF8,8,0.05097324585831094,3.9516566137575214e-20,13.598254709670035
18,A2AMZ4,NDUFAF8,21,0.05040331602752588,1.3172964850160278e-14,13.752015446392633
19,A2AMZ4,NDUFAF8,60,0.05939935298303446,2.0916654525874584e-12,11.669271561895982
20,A2AN08,UBR4,8,0.2435861845015422,6.477996427821478e-08,2.8455931602950035
21,A2APY7,NDUFAF5,21,0.04802831213617354,1.4959456103307947e-27,14.432053714373335
22,A2AQ25,SKT,8,0.1530792297038938,1.4363906098511925e-37,4.528028929206939
23,A2AQ25,SKT,21,0.16419818273035422,9.184855756071608e-134,4.221405919566294
