Protein.Group,Genes,Oxy8vs21_Log2FC,Oxy8vs21_tval,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_tval,Oxy60vs21_pval,Oxy60vs21_FDR
A2AAJ9,OBSCN,-0.14236908679589103,1.5248602705926175,0.12729395314041472,0.40629439837967984,0.0683742616148979,0.3354720687967137,0.7372690110795462,0.93585161698451
A2AHC3,CAMSAP1,,,,,-0.42715440214406364,0.9082498030382461,0.3637462567535392,0.7608963191034775
A2AJI0,MAP7D1,0.04648533390989464,-0.4798355193923602,0.6313443540615828,0.8672261429408921,-0.1990580503731512,0.9887274187421149,0.32279652400189207,0.7284821608900373
A2AKB9,DCAF10,0.543317565100789,-0.8087940209190726,0.41863363597748326,0.7272442660410333,,,,
A2AMM0,CAVIN4,0.15443426335137642,-1.667770767531544,0.09536124098713573,0.339447926416984,-0.06316794678422138,0.6988963600056747,0.48461680246556416,0.8226740450706258
A2AMZ4,NDUFAF8,0.016221572084884325,-0.06326881521512773,0.9495524478484001,0.9880313114363165,0.23692856476048768,-0.689362523561935,0.49059516104636625,0.8241384822165756
A2AQ25,SKT,-0.10115961363926065,0.44930309142299474,0.6532130280037386,0.8811839251837987,-0.4452236382028662,1.8698947695692814,0.06149843229133832,0.35257642142827766
A2AR02,PPIG,-0.08366034113214361,0.19808160739586914,0.8429812148875426,0.9529805875702041,,,,
A2ASQ1,AGRN,0.27673924246025317,-1.7725427006687882,0.0763045136487695,0.2994349756659081,0.2921554726395869,-1.666589915064354,0.09559597558191567,0.44381878000710706
A2ASS6,TTN,0.07718675706040948,-5.680725893504363,1.3412427995221646e-08,9.259542882627092e-07,0.07967320801808561,-4.984551899422527,6.21055745121642e-07,7.69631388762281e-05
A2AUC9,KLHL41,0.20008057662090625,-2.1507604034434533,0.03149511595254322,0.17572910818992238,0.0039975510866870935,0.2310742832939473,0.8172570934619978,0.9617004035828034
A3KMP2,TTC38,-0.2431268849532649,1.0566260383726422,0.2906822920982999,0.618683292063447,-0.3169278539330598,1.0370881129340173,0.29969479455534687,0.7015527314567472
A6H611,MIPEP,,,,,-0.38340212171312044,0.8059610425701285,0.4202653122426334,0.8032730523464916
A6H6E2,MMRN2,0.4611723894954486,-1.7881745187423415,0.07374785598627927,0.29499142394511707,-0.008638981234393767,0.010980607675983557,0.9912389187268495,0.9993028148116112
A6X935,ITIH4,,,,,-0.8541301148354613,3.059813943665398,0.0022147453123777644,0.04879406879426876
B1AR13,CISD3,0.2036773841349889,-1.0249675905801263,0.30537848015646873,0.6323656975652509,-0.04014069599851293,0.16757552564658287,0.8669172266009841,0.9712083494440064
B2RRE7,OTUD4,0.13721065281649486,-0.2395529029579124,0.8106768796735986,0.9363447126267602,-0.1683387596375005,0.27624424994600655,0.7823604724305135,0.9539307050463719
B2RXS4,PLXNB2,0.17562876985159095,-0.7529419406578567,0.451484803719699,0.7502659874696239,-0.06262872937323129,1.0971111406546938,0.27259281074883,0.6840113656862875
B2RY56,RBM25,-0.09206913136879638,-0.10894491766325246,0.9132461795058724,0.9760039091817173,-0.6620343730705112,0.9147786326626439,0.3603078543053063,0.7587659520076451
D3YXK2,SAFB,,,,,-0.8100051593233131,2.051134943318369,0.04025380722441018,0.2896941212808539
D3YZP9,CCDC6,-0.27382371763140784,0.4674500637858861,0.6401779113005814,0.8742063199005743,,,,
