Protein.Group,Genes,Kd_mean_8,Kd_mean_21,Kd_mean_60,Oxy8vs21_Log2FC,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_pval,Oxy60vs21_FDR
A1L314,MPEG1_MOUSE,0.0727778734101661,,0.4478922225408257,,,,,,
A2A432,CUL4B_MOUSE,0.3340512487631625,0.2760917279011527,0.1932774289212064,0.2749217886061295,0.245259038454418,0.4280292048770986,-0.5144744949793885,0.0548486103839602,0.1889751908089764
A2A4P0,DHX8_MOUSE,0.049219082999773,,0.0351704536237909,,,,,,
A2A5R2,ARFGEF2_MOUSE,0.2243775703809017,0.2289167983606227,0.5642626482119028,-0.028894868575415,0.947903798743083,0.9741904973020886,1.3015435179147,0.0256199776638834,0.1159565233788706
A2A7S8,KIAA1522_MOUSE,0.7064599058422768,1.0720098891435883,0.3742120728981062,-0.6016386246924461,0.0414857638572341,0.1232923833474504,-1.5183902055875884,3.842843433891036e-06,0.000132970646992
A2A8L5,PTPRF_MOUSE,0.3917439281394288,,,,,,,,
A2A8U2,TMEM201_MOUSE,0.0528686887855081,,,,,,,,
A2A8Z1,OSBPL9_MOUSE,0.4067664199988158,0.4229162516222028,0.2286256320526863,-0.0561714160703937,0.8028569763172767,0.8818793904576447,-0.8873848422047,0.0001040402160245,0.0019131509438106
A2AAY5,SH3PXD2B_MOUSE,0.6404791672708061,0.434958436141761,0.5753486987783604,0.5582740989329205,0.263364829401432,0.4455137098744326,0.403559042105952,0.3768927057694472,0.6330066425710236
A2AB59,ARHGAP27_MOUSE,0.19251589773347,,0.315632088514349,,,,,,
A2ADY9,DDI2_MOUSE,0.131214691692232,0.1460622305894718,0.1422952962853192,-0.1546539049909835,0.0744088164616078,0.1856162641712042,-0.0376951950604939,0.531311478535037,0.7609080275593009
A2AGB2,GM12695_MOUSE,0.1463660939603759,0.0623232533561053,,1.2317389376637773,0.0069559886658779,0.0325715455784507,,,
A2AGH6,MED12_MOUSE,0.3967066409528097,0.2334552513787135,0.4515645995384748,0.7649265075528925,0.2397381692162943,0.4219854791838314,0.9517863491396968,,
A2AGT5,CKAP5_MOUSE,0.1885425127113715,0.2014481873159004,0.1638305718268203,-0.0955189636272858,0.5481196522144749,0.7088610874716958,-0.2982042256208548,0.0010268593574332,0.0116764431527216
A2AHC3,CAMSAP1_MOUSE,,,0.1728130934754549,,,,,,
A2AI08,TPRN_MOUSE,0.7230808443635115,,,,,,,,
A2AIP0,FAM166B_MOUSE,,0.1008266817485439,,,,,,,
A2AIV8,CARD9_MOUSE,,,0.4015184191146622,,,,,,
A2AJI0,MAP7D1_MOUSE,0.1802985820456527,0.2314330326987582,0.2282875666057797,-0.3602067458681183,0.902902096467654,0.9479749691233192,-0.0197425095011322,0.867035160857186,0.9542131147874228
A2ALU4,SHROOM2_MOUSE,0.3406995873622391,,,,,,,,
A2AN08,UBR4_MOUSE,0.1971749732918201,0.199172312380764,0.1811327101014179,-0.0145406601516562,0.4634430750055339,0.6397227212857404,-0.1369700065117214,0.2961241202326798,0.5470306652748357
A2APV2,FMNL2_MOUSE,,,0.0989414642852866,,,,,,
A2APY7,NDUFAF5_MOUSE,0.1002297469054359,,0.1373569705361313,,,,,,
A2AQ07,TUBB1_MOUSE,,,0.230548356143746,,,,,,
A2AQ25,SKT_MOUSE,0.2054430627602798,0.0990900834316157,0.2006266343783265,1.0519260253624492,6.430640864346157e-07,1.7880451420270967e-05,1.0177005548326057,0.0002561714231502,0.0039443044961596
A2AR02,PPIG_MOUSE,0.1415728102736971,0.6156107411318766,0.2670613905190027,-2.120474188291241,0.0012903583124205,0.0085875570447297,-1.2048469855445891,0.07039940134942,0.2234174295290271
A2ARA8,ITGA8_MOUSE,0.1089064628366192,0.0755751756224881,0.1169899511739497,0.5271052389309199,3.838329173245957e-07,1.1660701867981467e-05,0.6304002836367709,0.0001455973103837,0.0024675057644948
A2ARV4,LRP2_MOUSE,0.3219525390954951,0.6641311570873037,0.5596382469857354,-1.0446201549175982,0.0262577910532939,0.0889079591804514,-0.2469736198054121,0.4124650775297407,0.6631296150656759
A2ASQ1,AGRN_MOUSE,0.0747784837183293,0.0785803207882577,0.1024623190219651,-0.0715448393221422,0.4976356699522883,0.6688826846019902,0.3828534872512422,0.0147740486898523,0.08182941253691
A2ASS6,TTN_MOUSE,0.1229671694522321,0.0475983225161321,,1.3692905518224476,0.0282928890860053,0.0939229032551563,,,
A2AVA0,SVEP1_MOUSE,0.5528394687161712,,,,,,,,
A2AWA9,RABGAP1_MOUSE,0.2010473451253988,,0.206667151393075,,,,,,
A2AWP8,ARHGEF10L_MOUSE,,0.3563476672111403,,,,,,,
A2BH40,ARID1A_MOUSE,0.8252312100017731,0.6654440900316644,0.5920963276533121,0.3104809271704123,0.1204095876804698,0.2616554366747876,-0.1684855515971587,0.4505825046834739,0.6974384319727847
