,Protein.Group,Genes,Oxygen,Kd,Kd_pvalue,Half_life
0,A1L314,MPEG1_MOUSE,8,0.07277787341016614,1.3418705988081154e-80,9.524147217842744
1,A1L314,MPEG1_MOUSE,60,0.4478922225408257,3.7196937479727483e-06,1.5475758356057732
2,A2A432,CUL4B_MOUSE,8,0.3340512487631625,1.7748578498974301e-15,2.0749725771909224
3,A2A432,CUL4B_MOUSE,21,0.2760917279011527,1.2107385276831522e-26,2.5105684470492653
4,A2A432,CUL4B_MOUSE,60,0.19327742892120645,4.726393156708264e-22,3.5862810491054344
5,A2A4P0,DHX8_MOUSE,8,0.04921908299977304,1.7113003470495843e-07,14.082895054406876
6,A2A4P0,DHX8_MOUSE,60,0.03517045362379096,3.0243952720073517e-09,19.708224067120582
7,A2A5R2,ARFGEF2_MOUSE,8,0.22437757038090175,1.238372592752409e-07,3.0891999560529317
8,A2A5R2,ARFGEF2_MOUSE,21,0.22891679836062276,6.138397135361803e-05,3.0279437137155827
9,A2A5R2,ARFGEF2_MOUSE,60,0.5642626482119028,0.0002356109925706501,1.228412305433411
10,A2A7S8,KIAA1522_MOUSE,8,0.7064599058422768,7.364130852196882e-24,0.9811557242353911
11,A2A7S8,KIAA1522_MOUSE,21,1.0720098891435885,1.4177673242415296e-29,0.6465865544521137
12,A2A7S8,KIAA1522_MOUSE,60,0.37421207289810626,3.4950225593448682e-12,1.8522843883465017
13,A2A8L5,PTPRF_MOUSE,8,0.3917439281394288,0.00014900273255340427,1.7693884468152918
14,A2A8U2,TMEM201_MOUSE,8,0.052868688785508135,4.171775911523818e-09,13.110731445829696
15,A2A8Z1,OSBPL9_MOUSE,8,0.40676641999881585,2.5969313647313328e-27,1.7040422868779659
16,A2A8Z1,OSBPL9_MOUSE,21,0.42291625162220287,9.930509570236215e-19,1.6389703112642349
17,A2A8Z1,OSBPL9_MOUSE,60,0.22862563205268638,6.339338870758629e-15,3.0317999532100175
18,A2AAY5,SH3PXD2B_MOUSE,8,0.6404791672708061,5.339500655991402e-09,1.082232203607132
19,A2AAY5,SH3PXD2B_MOUSE,21,0.434958436141761,0.00018040779739963647,1.593594060868004
20,A2AAY5,SH3PXD2B_MOUSE,60,0.5753486987783604,1.0202027982874457e-10,1.2047427621400844
21,A2AB59,ARHGAP27_MOUSE,8,0.19251589773347,0.007414443395006891,3.600467227488806
22,A2AB59,ARHGAP27_MOUSE,60,0.315632088514349,0.0004417431590648751,2.1960605584258714
23,A2ADY9,DDI2_MOUSE,8,0.131214691692232,3.6942154837975465e-51,5.282542462438146
24,A2ADY9,DDI2_MOUSE,21,0.14606223058947188,9.354695252709272e-33,4.745560695345886
25,A2ADY9,DDI2_MOUSE,60,0.14229529628531926,3.699340336140957e-27,4.871188286997916
26,A2AGB2,GM12695_MOUSE,8,0.14636609396037592,8.108169433835087e-09,4.735708672717559
27,A2AGB2,GM12695_MOUSE,21,0.062323253356105335,2.3503214326061056e-08,11.1218067612647
28,A2AGH6,MED12_MOUSE,8,0.3967066409528097,2.624654435645094e-22,1.7472537865641595
29,A2AGH6,MED12_MOUSE,21,0.23345525137871354,0.005795062721358637,2.9690794122918005
30,A2AGH6,MED12_MOUSE,60,0.4515645995384748,0.0007494093462672983,1.5349900795332094
31,A2AGT5,CKAP5_MOUSE,8,0.1885425127113715,1.4119972360306203e-34,3.6763442397791897
32,A2AGT5,CKAP5_MOUSE,21,0.2014481873159004,6.209067457096357e-32,3.440821135178489
33,A2AGT5,CKAP5_MOUSE,60,0.16383057182682037,1.6331854201528493e-12,4.23087811286313
34,A2AHC3,CAMSAP1_MOUSE,60,0.17281309347545498,0.03096798189550449,4.010964485502914
35,A2AI08,TPRN_MOUSE,8,0.7230808443635115,0.002182678895645235,0.9586026043465234
36,A2AIP0,FAM166B_MOUSE,21,0.10082668174854395,0.0003043125115698142,6.874640408067928
37,A2AIV8,CARD9_MOUSE,60,0.40151841911466224,6.663618378116272e-05,1.7263147780077361
38,A2AJI0,MAP7D1_MOUSE,8,0.18029858204565272,5.647913895314814e-23,3.8444405535282367
39,A2AJI0,MAP7D1_MOUSE,21,0.23143303269875823,8.885259821767492e-19,2.9950226744950936
40,A2AJI0,MAP7D1_MOUSE,60,0.22828756660577973,2.3431429350399605e-19,3.036289671250087
41,A2ALU4,SHROOM2_MOUSE,8,0.34069958736223915,6.199942965360539e-26,2.0344820078193293
43,A2AN08,UBR4_MOUSE,8,0.19717497329182015,2.668341203442458e-48,3.515391273993395
44,A2AN08,UBR4_MOUSE,21,0.199172312380764,4.640655962263057e-41,3.480138239469922
45,A2AN08,UBR4_MOUSE,60,0.18113271010141793,4.247624313632432e-43,3.8267366516618977
46,A2APV2,FMNL2_MOUSE,60,0.09894146428528665,3.6782264211916937e-10,7.0056288894343925
47,A2APY7,NDUFAF5_MOUSE,8,0.10022974690543596,0.03205126460989723,6.915583466592117
48,A2APY7,NDUFAF5_MOUSE,60,0.13735697053613138,2.3678738741558193e-07,5.0463196578554035
49,A2AQ07,TUBB1_MOUSE,60,0.230548356143746,5.864245353204087e-11,3.0065153885884603
50,A2AQ25,SKT_MOUSE,8,0.2054430627602798,3.3096317481493845e-57,3.373913780523904
51,A2AQ25,SKT_MOUSE,21,0.09909008343161574,1.8579031337049177e-08,6.9951215757962455
52,A2AQ25,SKT_MOUSE,60,0.20062663437832653,2.218475304028996e-18,3.454911072539156
53,A2AR02,PPIG_MOUSE,8,0.1415728102736971,1.1757477177306992e-08,4.896047335783696
54,A2AR02,PPIG_MOUSE,21,0.6156107411318766,1.2563627440923304e-14,1.1259504330374552
55,A2AR02,PPIG_MOUSE,60,0.2670613905190027,1.3400179043224756e-10,2.5954600895805062
56,A2ARA8,ITGA8_MOUSE,8,0.10890646283661924,4.91391014061515e-136,6.364610166430619
57,A2ARA8,ITGA8_MOUSE,21,0.07557517562248817,6.315759775921063e-31,9.17162513815836
58,A2ARA8,ITGA8_MOUSE,60,0.11698995117394971,3.7176613627937706e-52,5.924843746018155
59,A2ARV4,LRP2_MOUSE,8,0.32195253909549515,4.289021365788604e-07,2.1529483274376324
60,A2ARV4,LRP2_MOUSE,21,0.6641311570873037,9.692609197953524e-10,1.043690200592151
61,A2ARV4,LRP2_MOUSE,60,0.5596382469857354,1.8426281301288936e-15,1.2385629186234173
62,A2ASQ1,AGRN_MOUSE,8,0.07477848371832937,4.1855250053791387e-75,9.26933987015364
63,A2ASQ1,AGRN_MOUSE,21,0.07858032078825772,4.6352791729961616e-51,8.820874916350844
