Protein.Group,Genes,Oxy8vs21_Log2FC,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_pval,Oxy60vs21_FDR
A2A432,CUL4B_MOUSE,0.2749217886061295,0.245259038454418,0.4280292048770986,-0.5144744949793885,0.05484861038396024,0.18897519080897648
A2A5R2,ARFGEF2_MOUSE,-0.028894868575415,0.947903798743083,0.9741904973020886,1.3015435179147001,0.025619977663883485,0.11595652337887068
A2A7S8,KIAA1522_MOUSE,-0.6016386246924461,0.041485763857234154,0.12329238334745041,-1.5183902055875884,3.842843433891036e-06,0.00013297064699205755
A2A8Z1,OSBPL9_MOUSE,-0.056171416070393755,0.8028569763172767,0.8818793904576447,-0.8873848422047,0.00010404021602450703,0.0019131509438106492
A2AAY5,SH3PXD2B_MOUSE,0.5582740989329205,0.263364829401432,0.4455137098744326,0.403559042105952,0.3768927057694472,0.6330066425710236
A2ADY9,DDI2_MOUSE,-0.15465390499098358,0.07440881646160785,0.18561626417120422,-0.037695195060493986,0.531311478535037,0.7609080275593009
A2AGB2,GM12695_MOUSE,1.2317389376637773,0.006955988665877933,0.03257154557845078,,,
A2AGH6,MED12_MOUSE,0.7649265075528925,0.23973816921629432,0.4219854791838314,0.9517863491396967,,
A2AGT5,CKAP5_MOUSE,-0.09551896362728585,0.5481196522144749,0.7088610874716958,-0.29820422562085486,0.001026859357433257,0.01167644315272163
A2AJI0,MAP7D1_MOUSE,-0.3602067458681183,0.902902096467654,0.9479749691233192,-0.019742509501132283,0.867035160857186,0.9542131147874229
A2AN08,UBR4_MOUSE,-0.014540660151656228,0.46344307500553394,0.6397227212857404,-0.13697000651172142,0.29612412023267987,0.5470306652748357
A2AQ25,SKT_MOUSE,1.0519260253624492,6.430640864346157e-07,1.7880451420270967e-05,1.0177005548326055,0.00025617142315020934,0.003944304496159683
A2AR02,PPIG_MOUSE,-2.1204741882912415,0.001290358312420528,0.00858755704472972,-1.2048469855445891,0.07039940134942,0.22341742952902716
A2ARA8,ITGA8_MOUSE,0.5271052389309199,3.8383291732459574e-07,1.1660701867981469e-05,0.6304002836367709,0.00014559731038377385,0.0024675057644948806
A2ARV4,LRP2_MOUSE,-1.0446201549175982,0.02625779105329394,0.08890795918045141,-0.24697361980541216,0.4124650775297407,0.6631296150656759
A2ASQ1,AGRN_MOUSE,-0.07154483932214224,0.49763566995228836,0.6688826846019902,0.3828534872512422,0.014774048689852307,0.08182941253691003
A2ASS6,TTN_MOUSE,1.3692905518224476,0.028292889086005392,0.09392290325515637,,,
A2BH40,ARID1A_MOUSE,0.31048092717041237,0.12040958768046986,0.2616554366747876,-0.16848555159715875,0.45058250468347394,0.6974384319727847
A2RSJ4,UHRF1BP1L_MOUSE,,,,2.243617878085059,1.6248444166333495e-06,6.614294888921624e-05
A3KGF9,CCDC9B_MOUSE,,,,-0.48104469296458374,0.2260258093061236,0.46337335313049216
A3KGV1,ODF2_MOUSE,,,,0.25672791241534665,0.6698471236284638,0.8443274750632184
A3KMP2,TTC38_MOUSE,0.2171673716707497,0.09858958679933774,0.22573093809394776,0.1637887161775695,0.09022812629106823,0.26300191159842173
A6H5Z3,EXOC6B_MOUSE,0.016664049489109947,0.2295482655470864,0.4097648853427587,-0.40342042748490714,0.0007060225580710377,0.008840391408064589
A6H619,PHRF1_MOUSE,1.0215093484469986,0.006713184632144374,0.03182942019951689,0.9411930601819724,0.19684581414339752,0.4251341140358747
A6H6E2,MMRN2_MOUSE,0.5170746617258994,0.049603277252746596,0.13933934303618287,0.7119568800234648,0.009361293441878514,0.05906792607051973
A6H8H2,DENND4C_MOUSE,0.1712429311310646,0.30324531082636386,0.48840065572528135,-0.3577104937599417,0.044526920560700914,0.16797329504738104
A6X8Z5,ARHGAP31_MOUSE,1.0616797170300727,0.01731095455031886,0.06483703410912806,0.7034315037630389,0.1619762371925767,0.3788077988994999
