Protein.Group,Genes,Oxy8vs21_Log2FC,Oxy8vs21_tval,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_tval,Oxy60vs21_pval,Oxy60vs21_FDR
A0A1W2P872,NOVA2,0.32425387470135336,-1.5155901961032605,0.12962300760682507,0.4960072269176108,0.6204335628496707,-2.3455242661325326,0.019000341729311896,0.16304514022912772
A2A690,TANC2,0.4885130387607056,-1.3744658152666835,0.16929711590179464,0.5451040652383589,-0.3834188444325789,1.4430676750169886,0.14900140817081708,0.470502654474874
A2A699,FAM171A2,-0.07984184939215806,0.5598115759484585,0.575607966936724,0.8482925195542818,-0.08928167788420303,0.36612837526483133,0.7142692849406271,0.9118999440242004
A2A6A1,GPATCH8,0.6558184543508592,-2.09623039103833,0.036061758231013,0.2676584734816525,0.6217293305124365,-2.0157387833159253,0.043827297844439825,0.2545836224238559
A2A6T1,CDR2L,0.1772453558035654,-0.4488838864469269,0.6535154206009652,0.8810115503680269,,,,
A2A7S8,KIAA1522,-0.7035886071027344,2.6933539355976555,0.007073713242669316,0.11137667679487234,-0.3842116055060108,0.9083779869868555,0.36367855189709686,0.7149321137492375
A2ADY9,DDI2,,,,,-0.17067076401750952,0.384240571767507,0.7008001501054536,0.9065346103091501
A2AG50,MAP7D2,-0.09549542703575967,0.695894193537543,0.48649509390067835,0.8100913780789577,0.010784040943662058,-0.44960871592460633,0.652992602327449,0.8806852644942352
A2AGT5,CKAP5,-0.2840055311286131,0.9889374590537967,0.32269374168496545,0.6924273874056401,-0.3841510233567604,1.5060841431167065,0.1320455746808565,0.44514991758848327
A2AHC3,CAMSAP1,0.05864078967369863,-0.07146147146857437,0.9430304874438955,0.9851025946852741,-0.20338673111677805,1.0510160995126123,0.29325119569218727,0.6437399586498762
A2AHG0,LZTS3,0.10320313328521424,-0.22786772951076076,0.8197490708891275,0.9497604347491505,-0.2505001170122618,2.167206163409696,0.030219137640774572,0.20584840408393607
A2AJA9,AJM1,-0.33732547872908125,2.275080347670155,0.022901110343510413,0.21200247042772002,0.012858574748227736,-0.0863489157447991,0.931189054510101,0.9804967198175281
A2AJI0,MAP7D1,-0.08453395241472722,1.1245893148251678,0.26076310367209843,0.6494810297890505,-0.10124561010353167,1.1314246533575796,0.257876399871528,0.6147417844930362
A2AJT4,PNISR,0.1700094965450212,-0.4575267382191782,0.6472924882096049,0.8806578516406941,0.19602748529143918,-0.5550668204559059,0.578848956397148,0.8401415660393532
A2ALS5,RAP1GAP,-0.12479340345244083,,,,0.363556831114781,,,
A2ALU4,SHROOM2,-0.0036994572939386136,-0.3033033126176937,0.7616587219194583,0.9291494255796731,-0.0380456478546927,0.18626937027737275,0.8522335260634367,0.9521941512070488
A2AMZ4,NDUFAF8,,,,,0.2250202758624649,-0.4690826002404576,0.6390105956533232,0.8737258385747794
